"filename", "language", "Properties", "Python", "PowerShell", "Batch", "XML", "C", "Markdown", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\__init__.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\compatibility.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 17, 10, 49
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\current_thread_executor.py", "Python", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 27, 14, 116
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\local.py", "Python", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 39, 11, 121
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\server.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 64, 17, 158
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\sync.py", "Python", 0, 428, 0, 0, 0, 0, 0, 0, 0, 0, 142, 76, 646
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\testing.py", "Python", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 24, 11, 98
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\timeout.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 119
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\typing.py", "Python", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 275
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\asgiref\wsgi.py", "Python", 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 40, 15, 163
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\certifi\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\certifi\__main__.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\certifi\core.py", "Python", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 43, 20, 109
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\__init__.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 47
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\__main__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\api.py", "Python", 0, 519, 0, 0, 0, 0, 0, 0, 0, 0, 37, 71, 627
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\cd.py", "Python", 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 42, 93, 396
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\cli\__init__.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\cli\__main__.py", "Python", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 16, 28, 297
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\constant.py", "Python", 0, 1964, 0, 0, 0, 0, 0, 0, 0, 0, 10, 22, 1996
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\legacy.py", "Python", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 55
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\md.py", "Python", 0, 426, 0, 0, 0, 0, 0, 0, 0, 0, 35, 121, 582
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\models.py", "Python", 0, 225, 0, 0, 0, 0, 0, 0, 0, 0, 56, 57, 338
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\utils.py", "Python", 0, 271, 0, 0, 0, 0, 0, 0, 0, 0, 19, 110, 400
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\charset_normalizer\version.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 7
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\__init__.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 25
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\__main__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 10
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\apps\__init__.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\apps\config.py", "Python", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 80, 32, 275
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\apps\registry.py", "Python", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 174, 55, 437
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\__init__.py", "Python", 0, 276, 0, 0, 0, 0, 0, 0, 0, 0, 67, 59, 402
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\global_settings.py", "Python", 0, 299, 0, 0, 0, 0, 0, 0, 0, 0, 261, 122, 682
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject\venv\Lib\site-packages\django\conf\locale\__init__.py", "Python", 0, 614, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 624
