"filename", "language", "HTML", "JavaScript", "XML", "Python", "CSS", "comment", "blank", "total"
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\models.py", "Python", 0, 0, 0, 23, 0, 18, 7, 48
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\tests.py", "Python", 0, 0, 0, 1, 0, 1, 2, 4
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\urls.py", "Python", 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\pedal\views.py", "Python", 0, 0, 0, 210, 0, 44, 50, 304
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\static\css\main.css", "CSS", 0, 0, 0, 0, 160, 30, 40, 230
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\static\images\bike_icon.svg", "XML", 0, 0, 6, 0, 0, 1, 5, 12
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\static\js\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\static\js\nearbyShops.js", "JavaScript", 0, 104, 0, 0, 0, 50, 15, 169
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\base.html", "HTML", 117, 0, 0, 0, 0, 36, 15, 168
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\buy.html", "HTML", 29, 0, 0, 0, 0, 2, 8, 39
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\checkout.html", "HTML", 60, 0, 0, 0, 0, 0, 7, 67
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\details.html", "HTML", 100, 0, 0, 0, 0, 4, 26, 130
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\history.html", "HTML", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\index.html", "HTML", 29, 0, 0, 0, 0, 2, 17, 48
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\login copy.html", "HTML", 113, 0, 0, 0, 0, 3, 25, 141
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\login.html", "HTML", 119, 0, 0, 0, 0, 3, 30, 152
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\payments.html", "HTML", 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\register.html", "HTML", 99, 0, 0, 0, 0, 3, 20, 122
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\reports.html", "HTML", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\sell.html", "HTML", 53, 0, 0, 0, 0, 0, 17, 70
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\shops.html", "HTML", 16, 0, 0, 0, 0, 1, 6, 23
"c:\Users\KIIT\sem1\sem202324\SEM_PROJECT\myproject1\templates\your_bikes.html", "HTML", 92, 0, 0, 0, 0, 0, 12, 104
"Total", "-", 1083, 104, 12, 1024, 160, 317, 664, 3364
